customer_id,product_category,base_price,discount_percentage,promotion_exposure,season,final_price,purchase_frequency,avg_order_value
1,Footwear,2470,10,6,Sale,2223.0,3,2032.5594217430335
2,Accessories,4322,0,3,Sale,4322.0,6,4262.151680296046
3,Men Apparel,3319,40,6,Sale,1991.3999999999999,2,1976.6694759760665
4,Footwear,1402,10,4,Sale,1261.8,3,1511.9511074870404
5,Footwear,864,10,1,Non-Sale,777.6,1,753.1067970709311
6,Accessories,4758,0,5,Non-Sale,4758.0,0,4158.593592138559
7,Men Apparel,3619,40,6,Sale,2171.4,3,2531.289969261617
8,Men Apparel,3058,20,7,Sale,2446.4,7,2480.5417225491915
9,Footwear,2363,30,5,Sale,1654.1,3,964.843795813809
10,Women Apparel,615,40,7,Sale,369.0,3,795.1758509110199
11,Footwear,2884,10,6,Sale,2595.6,4,3037.7912421010387
12,Footwear,4435,30,1,Non-Sale,3104.5,4,2780.8266715277105
13,Footwear,2990,0,5,Sale,2990.0,1,2564.5977341163143
14,Footwear,1442,10,8,Sale,1297.8,2,1640.6407536359402
15,Accessories,2224,40,5,Sale,1334.3999999999999,2,1677.7412636116883
16,Men Apparel,2834,30,3,Non-Sale,1983.8,1,2128.3969722225975
17,Accessories,3267,20,6,Non-Sale,2613.6000000000004,3,2479.9769535333794
18,Accessories,1637,20,2,Non-Sale,1309.6000000000001,3,1072.054659985381
19,Accessories,3027,20,4,Sale,2421.6,2,2601.6120000556894
20,Footwear,4617,0,0,Sale,4617.0,2,4424.721039092864
21,Women Apparel,3920,10,9,Sale,3528.0,4,3337.4650087143864
22,Men Apparel,4406,10,2,Sale,3965.4,4,4200.553957850185
23,Women Apparel,4137,10,7,Non-Sale,3723.3,2,4018.0407592107676
24,Accessories,3453,40,8,Sale,2071.7999999999997,5,2522.0538856325024
25,Accessories,2867,10,8,Sale,2580.3,2,2034.4640906645673
26,Women Apparel,4721,10,9,Non-Sale,4248.900000000001,2,4099.252171722775
27,Women Apparel,776,20,1,Sale,620.8000000000001,5,518.2777969392896
28,Women Apparel,2499,40,3,Non-Sale,1499.3999999999999,1,1493.9846951342606
29,Accessories,1727,10,4,Sale,1554.3,3,1172.73932082682
30,Accessories,4252,0,2,Sale,4252.0,3,4422.162229554931
31,Men Apparel,4235,20,0,Sale,3388.0,5,3954.7991197558117
32,Men Apparel,1195,30,5,Non-Sale,836.5,3,478.7991477195469
33,Accessories,1809,20,9,Sale,1447.2,5,1503.7527489092363
34,Women Apparel,4652,40,1,Sale,2791.2,4,3167.6868541162703
35,Women Apparel,3734,50,8,Sale,1867.0,3,1795.7013116642172
36,Men Apparel,4614,30,0,Non-Sale,3229.7999999999997,2,3009.8178649128504
37,Accessories,2811,30,8,Non-Sale,1967.6999999999998,1,2021.1668712100575
38,Men Apparel,3341,20,6,Sale,2672.8,2,2892.9320275467526
39,Men Apparel,4708,0,9,Sale,4708.0,5,4328.961492777933
40,Footwear,4059,50,1,Non-Sale,2029.5,3,2340.3884697598237
41,Footwear,3898,20,5,Non-Sale,3118.4,0,3054.6504291180377
42,Footwear,1041,10,7,Non-Sale,936.9,2,736.7496581364103
43,Women Apparel,3194,30,1,Sale,2235.7999999999997,5,1775.8112440722412
44,Accessories,1588,10,4,Sale,1429.2,3,1233.287501093254
45,Accessories,3863,20,5,Non-Sale,3090.4,1,2908.332397338611
46,Accessories,524,20,2,Non-Sale,419.20000000000005,3,200.0
47,Accessories,2072,20,1,Non-Sale,1657.6000000000001,3,1799.6946682519037
48,Footwear,3458,40,5,Sale,2074.7999999999997,5,2118.9177324907964
49,Women Apparel,4736,10,2,Non-Sale,4262.400000000001,1,4556.63220768624
50,Women Apparel,2267,20,1,Non-Sale,1813.6000000000001,2,2028.042755816575
51,Footwear,2735,20,0,Non-Sale,2188.0,1,1995.9467238944903
52,Women Apparel,700,30,7,Sale,489.99999999999994,2,395.78101296201686
53,Footwear,3698,30,0,Non-Sale,2588.6,1,2364.969719064811
54,Accessories,756,20,4,Non-Sale,604.8000000000001,3,200.0
55,Footwear,4247,30,5,Non-Sale,2972.8999999999996,5,3087.9968409716284
56,Accessories,2741,10,2,Non-Sale,2466.9,4,2516.6423853292717
57,Accessories,3675,40,6,Non-Sale,2205.0,3,2022.5216524234158
58,Men Apparel,4106,20,1,Non-Sale,3284.8,1,3526.406403844142
59,Footwear,3836,30,6,Sale,2685.2,4,2583.301229134157
60,Men Apparel,913,0,1,Non-Sale,913.0,2,1282.824964848887
61,Footwear,2514,10,4,Non-Sale,2262.6,0,2216.2298314540944
62,Footwear,1881,20,6,Sale,1504.8000000000002,4,1116.37905246519
63,Men Apparel,1598,40,2,Sale,958.8,3,1415.55991150245
64,Men Apparel,3926,20,3,Sale,3140.8,2,3250.428134112952
65,Footwear,4155,40,0,Non-Sale,2493.0,2,2208.997615279681
66,Women Apparel,1409,20,2,Sale,1127.2,3,1006.5112723888329
